bloc,groupe,symbole,nom,Z,utilisation,usage_epistemique,multisecteurs,secteurs
D,4,Ti,Titane,22,Structurer → alliages → métallurgie multi-éléments,Observable → contrainte/déformation → résistance mécanique,MAT → matériaux Intégrer → implants → dispositifs biomédicaux (biocompatibilité) SAN → santé/vivant SPA → spatial/cryo (structures) DEF → défense/sûreté RES → recherche fondamentale,DEF;MAT;RES;SAN;SPA
D,5,V,Vanadium,23,Structurer → aciers → alliages Fe–C et variantes,Sonde → cycles redox → catalyse/oxydoréduction,MAT → matériaux CHI → chimie/procédés EN → énergie (conversion) RES → recherche fondamentale,CHI;EN;MAT;RES
D,6,Cr,Chrome,24,Structurer → aciers inox → aciers résistants corrosion (passivation),Observable → valences → états d’oxydation,MAT → matériaux CHI → chimie/procédés DEF → défense/sûreté (durabilité) RES → recherche fondamentale,CHI;DEF;MAT;RES
D,7,Mn,Manganèse,25,Structurer → aciers → alliages Fe–C et variantes,Sonde → cycles redox → catalyse,MAT → matériaux CHI → chimie/procédés RES → recherche fondamentale,CHI;MAT;RES
D,8,Fe,Fer,26,Structurer → aciers → alliages Fe–C et variantes,Sonde → ordre magnétique → magnétisme,MAT → matériaux Traceur → signatures → géophysique ENV → environnement/géosciences EN → énergie (infrastructures) RES → recherche fondamentale,EN;ENV;MAT;RES
D,9,Co,Cobalt,27,Stocker → batteries → stockage électrochimique,Traceur → désintégrations → radio-isotopes,EN → énergie (stockage) Produire → aimants → matériaux à ordre magnétique exploité NUM → numérique/capteurs (moteurs/actuateurs) SAN → santé/vivant (isotopes) RES → recherche fondamentale,EN;NUM;RES;SAN
D,10,Ni,Nickel,28,Structurer → alliages → métallurgie multi-éléments,Observable → Catalyse,MAT → matériaux CHI → chimie/procédés EN → énergie (procédés) RES → recherche fondamentale,CHI;EN;MAT;RES
D,11,Cu,Cuivre,29,Conduire → conducteurs → transport électrique/thermique,Sonde → potentiel/impédance → électrochimie,NUM → numérique/capteurs EN → énergie (réseaux) CHI → chimie/procédés RES → recherche fondamentale,CHI;EN;NUM;RES
D,12,Zn,Zinc,30,Protéger → galvanisation → protection anticorrosion par dépôt,Modèle → sites métalliques → métalloprotéines,MAT → matériaux (corrosion) (procédé) SAN → santé/vivant RES → recherche fondamentale,MAT;RES;SAN
P,13,Ga,Gallium,31,"Contrôler → semi-conducteurs (composés III–V, LED)",Observable → bande interdite (optoélectronique),NUM → numérique/capteurs (LED) Mesurer → thermométrie (fusion basse température) Modèle → phases eutectiques (alliages liquides) MAT → matériaux RES → recherche fondamentale,MAT;NUM;RES
P,14,Ge,Germanium,32,Contrôler → semi-conducteurs (transistors),Observable → bande interdite (semi-conducteur),NUM → numérique/capteurs Transmettre → optique infrarouge (lentilles) Contrôler → dopage (conductivité) MAT → matériaux RES → recherche fondamentale,MAT;NUM;RES
P,15,As,Arsenic,33,Composer → semi-conducteurs (GaAs) Contrôler → impuretés (dopage),,MAT → matériaux Exploiter → toxicité (usage historique) Observable → mécanismes cellulaires (toxicologie) SAN → santé/vivant RES → recherche fondamentale Daloze Didier Bloc Groupe Symbole Nom Z Utilisation (définition) Usage épistémique (définition) Multisecteurs (définition),MAT;RES;SAN
P,16,Se,Sélénium,34,Détecter → photoconductivité (photocopie),Observable → bande interdite (semi-conducteur),NUM → numérique/capteurs Modifier → verre (décoloration) Contrainte → seuils (toxicité/santé) MAT → matériaux Réguler → oligoélément (nutrition) SAN → santé/vivant RES → recherche fondamentale,MAT;NUM;RES;SAN
P,17,Br,Brome,35,Retarder → flamme (polymères),Sonde → substitutions (chimie halogènes),CHI → chimie/procédés Enregistrer → photographie (halogénures d’argent) Contrainte → toxicologie MAT → matériaux RES → recherche fondamentale,CHI;MAT;RES
P,18,Kr,Krypton,36,Émettre → lampes (éclairage),Sonde → transitions (spectroscopie),NUM → numérique/capteurs Émettre → lasers (excimer) Observable → inertie (gaz noble) RES → recherche fondamentale,NUM;RES
S,1 (Alcalins),Rb,Rubidium,37,Standardiser → horloges atomiques → mesure du temps par transition,Système modèle → régime quantique → BEC,NUM → numérique/capteurs (métrologie) atomique RES → recherche fondamentale,NUM;RES
S,2 (Alcalino-terr,Sr,Strontium,38,Libérer → pyrotechnie → combustion rapide contrôlée (effets),Traceur → ratios isotopiques → datation,ENV → environnement/géosciences (traceurs) eux) DEF → défense/sûreté (pyro) RES → recherche fondamentale,DEF;ENV;RES
D,3,Y,Yttrium,39,Émettre → lasers → sources cohérentes de photons,Système modèle → résistance nulle → supraconductivité,NUM → numérique/capteurs Afficher → écrans → dispositifs d’affichage MAT → matériaux EN → énergie (transport/pertes) RES → recherche fondamentale,EN;MAT;NUM;RES
D,4,Zr,Zirconium,40,Convertir → réacteurs nucléaires → systèmes à réaction en chaîne,Observable/Contrainte → dégradation surface → corrosion,NUC → nucléaire (réacteurs/neutrons) contrôlée Sonde/Contrainte → neutrons → neutronique MAT → matériaux (corrosion) EN → énergie (production) RES → recherche fondamentale,EN;MAT;NUC;RES
D,5,Nb,Niobium,41,Transporter → supraconducteurs → matériaux à résistance nulle sous,Modèle → propriétés quantiques → matériaux quantiques,EN → énergie (transport/pertes) conditions NUM → numérique/capteurs (dispositifs) MAT → matériaux RES → recherche fondamentale,EN;MAT;NUM;RES
D,6,Mo,Molybdène,42,Catalyser → catalyse → contrôle cinétique,Modèle → catalyse → enzymes/biochimie,CHI → chimie/procédés Structurer → alliages → métallurgie multi-éléments MAT → matériaux SAN → santé/vivant RES → recherche fondamentale,CHI;MAT;RES;SAN
D,7,Tc,Technétium,43,Imager → imagerie médicale → observation du corps par signaux,Traceur → production artificielle → statut,SAN → santé/vivant NUM → numérique/capteurs (imagerie) RES → recherche fondamentale,NUM;RES;SAN
D,8,Ru,Ruthénium,44,Catalyser → catalyse → contrôle cinétique,Modèle → complexes métal–C → organométallique,CHI → chimie/procédés EN → énergie (conversion) RES → recherche fondamentale,CHI;EN;RES
D,9,Rh,Rhodium,45,Catalyser → catalyse → contrôle cinétique,Modèle → vitesses → cinétique,CHI → chimie/procédés EN → énergie (procédés) RES → recherche fondamentale,CHI;EN;RES
D,10,Pd,Palladium,46,Catalyser → catalyse → contrôle cinétique,Observable → ajout d’H → hydrogénation,CHI → chimie/procédés EN → énergie (procédés) RES → recherche fondamentale,CHI;EN;RES
D,11,Ag,Argent,47,Enregistrer → photographie → enregistrement d’information,Observable → Optique,NUM → numérique/capteurs lumineuse Observable → plasmonique SAN → santé/vivant (applications) Interfacer → électronique → composants/systèmes charges/états RES → recherche fondamentale,NUM;RES;SAN
D,12,Cd,Cadmium,48,Stocker → batteries → stockage électrochimique,Contrainte → dose–réponse → toxicologie,EN → énergie (stockage) SAN → santé/vivant (toxicologie) ENV → environnement/géosciences (contamination) RES → recherche fondamentale,EN;ENV;RES;SAN
P,13,In,Indium,49,Interfacer → écrans tactiles (conducteur transparent) Contrôler/,Observable → dopage (semi-conducteurs),NUM → numérique/capteurs (écrans) Assembler → soudures (alliages bas point de fusion) Observable → bandes optoélectroniques MAT → matériaux RES → recherche fondamentale,MAT;NUM;RES
P,14,Sn,Étain,50,Assembler → soudures (alliages),Système modèle → transition allotropique (étain gris/blanc),MAT → matériaux Protéger → revêtements (anticorrosion) Observable → conductivité CHI → chimie/procédés RES → recherche fondamentale,CHI;MAT;RES
P,15,Sb,Antimoine,51,Structurer → alliages (durcissement du plomb),Observable → propriétés électroniques (semi-métal),MAT → matériaux Retarder → flamme (ignifugeants) Modèle → alliages (comportement) CHI → chimie/procédés RES → recherche fondamentale,CHI;MAT;RES
P,16,Te,Tellure,52,Convertir → solaire (CdTe),Observable → propriétés électroniques (semi-métal),EN → énergie (solaire) Structurer → alliages (usinabilité) Modèle → composés (tellurures) MAT → matériaux RES → recherche fondamentale Daloze Didier Bloc Groupe Symbole Nom Z Utilisation (définition) Usage épistémique (définition) Multisecteurs (définition),EN;MAT;RES
P,17,I,Iode,53,Désinfecter → antiseptiques,Traceur → radioisotopes (thérapie observable),SAN → santé/vivant Réguler → thyroïde (hormones) Observable → cycle iode NUM → numérique/capteurs Imager → contraste (imagerie) RES → recherche fondamentale,NUM;RES;SAN
P,18,Xe,Xénon,54,Anesthésier → gaz médical,Modèle → liaisons (composés du xénon),SAN → santé/vivant Propulser → ions (propulsion) Observable → inertie (gaz noble) SPA → spatial/cryo Émettre → flash (lampes) RES → recherche fondamentale,RES;SAN;SPA
S,1 (Alcalins),Cs,Césium,55,Standardiser → horloges atomiques → mesure du temps par transition,Standard → fréquence → seconde SI,NUM → numérique/capteurs (métrologie) atomique RES → recherche fondamentale,NUM;RES
S,2 (Alcalino-terr,Ba,Baryum,56,Imager → imagerie médicale → observation du corps par signaux,Sonde → atténuation → absorption X,SAN → santé/vivant (imagerie) eux) physiques NUM → numérique/capteurs (instrumentation) RES → recherche fondamentale,NUM;RES;SAN
F,3,La,Lanthane,57,Catalyser → contrôle cinétique (procédés),Modèle → remplissage orbital (série f),CHI → chimie/procédés Optique → verres dopés (indices) Sonde → luminescence (émission photonique) NUM → optique/capteurs MAT → dopage matériaux RES → recherche fondamentale,CHI;MAT;NUM;RES
F,3,Ce,Cérium,58,Catalyser → contrôle cinétique (convertisseurs),Sonde → états redox multiples (observables),CHI → chimie/procédés Polir → surfaces modifiées (verres) Contrainte → adsorption (sites actifs) MAT → surfaces/polissage EN → procédés/convertisseurs RES → recherche fondamentale,CHI;EN;MAT;RES
F,3,Pr,Praséodyme,59,Produire → aimants (ordre magnétique exploité),Sonde → absorption sélective (optique),MAT → alliages Structurer → alliages (métallurgie) Sonde → moments magnétiques (mesurables) NUM → magnétique/capteurs EN → conversion/transport (moteurs) RES → recherche fondamentale,EN;MAT;NUM;RES
F,3,Nd,Néodyme,60,Produire → aimants (ordre magnétique),Contrainte → champs intenses (magnétisme),MAT → aimants Émettre → lasers (sources cohérentes) Modèle → amplification photonique (optique) NUM → lasers/capteurs EN → moteurs/générateurs RES → recherche fondamentale,EN;MAT;NUM;RES
F,3,Pm,Prométhium,61,Convertir → énergie radioactive (batteries nucléaires),Contrainte → désintégrations (radioactivité mesurable),EN → conversion (radioisotopes) Émettre → luminescence persistante (peintures) Sonde → rayonnement bêta (source) NUM → détection/instrumentation SAN → imagerie (radioisotopes) RES → recherche fondamentale,EN;NUM;RES;SAN
F,3,Sm,Samarium,62,Produire → aimants (ordre magnétique),"Système modèle → transition (pression, semi-métal)",MAT → aimants Catalyser → contrôle cinétique (procédés) Sonde → cycles redox (mesurables) CHI → chimie/procédés NUM → magnétique/capteurs RES → recherche fondamentale,CHI;MAT;NUM;RES
F,3,Eu,Europium,63,Émettre → phosphores (écrans),Sonde → fluorescence (excitation UV),NUM → affichage/capteurs Émettre → lasers (sources cohérentes) Modèle → résonances optoélectroniques MAT → phosphores SAN → imagerie (marquage) RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Gd,Gadolinium,64,Imager → agents de contraste (IRM/RMN),Sonde → paramagnétisme (relaxation mesurable),SAN → imagerie Produire → aimants (ordre magnétique) Contrainte → contraste (atténuation signaux) NUM → capteurs/IRM MAT → aimants RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Tb,Terbium,65,Émettre → phosphores (vert),Traceur → isotopes (usage thérapeutique),NUM → lasers/capteurs Émettre → lasers (sources cohérentes) Sonde → luminescence persistante SAN → théranostique MAT → phosphores RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Dy,Dysprosium,66,Produire → aimants (haute température),Contrainte → absorption neutronique (sections efficaces),MAT → aimants Émettre → lasers (sources cohérentes) Sonde → champs élevés (magnétisme) EN → conversion (générateurs) NUM → lasers/capteurs RES → recherche fondamentale,EN;MAT;NUM;RES
F,3,Ho,Holmium,67,Émettre → lasers (médical),Contrainte → émissions bêta/gamma (mesurables),SAN → lasers/therapies Produire → aimants (ordre magnétique) Modèle → interaction tissu (ablation) MAT → aimants NUM → instrumentation RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Er,Erbium,68,Émettre → lasers (fibre optique),Modèle → amplification photonique (dopage),NUM → communications Amplifier → gain optique (amplificateurs) Contrainte → longueurs d’onde spécifiques SAN → chirurgie (laser) MAT → fibres/dopage RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Tm,Thulium,69,Émettre → lasers (médical),Sonde → fluorescence bleue (dopage),SAN → imagerie/soins Produire → source X portable (radiation) Contrainte → absorption neutronique (sections efficaces) NUM → lasers/capteurs MAT → alliages RES → recherche fondamentale,MAT;NUM;RES;SAN
F,3,Yb,Ytterbium,70,Émettre → lasers (industriel),Modèle → amplification IR (dopage),NUM → lasers/métrologie Structurer → alliages (métallurgie) Standard → transitions quantiques (horloges) MAT → alliages EN → sources/industrie RES → recherche fondamentale,EN;MAT;NUM;RES
F,3,Lu,Lutétium,71,Traiter → radiothérapie ciblée (cancers),Contrainte → émission bêta (radioactivité),SAN → thérapie/imagerie Catalyser → contrôle cinétique (procédés) Sonde → imagerie (SPECT/TEP) CHI → chimie/procédés NUM → imagerie/capteurs RES → recherche fondamentale,CHI;NUM;RES;SAN
D,4,Hf,Hafnium,72,Contrôler → contrôle neutronique → matériaux/dispositifs modifiant,Contrainte → noyau/rayonnements → physique nucléaire,NUC → nucléaire flux neutrons EN → énergie (pilotage) RES → recherche fondamentale,EN;NUC;RES
D,5,Ta,Tantale,73,Interfacer → électronique → composants/systèmes charges/états,Contrainte → stabilité en milieu réactif → résistance chimique,NUM → numérique/capteurs MAT → matériaux CHI → chimie/procédés RES → recherche fondamentale,CHI;MAT;NUM;RES
D,6,W,Tungstène,74,Filaments → éléments résistifs/thermiques,Contrainte → limite thermique → fusion,MAT → matériaux Protéger → blindage → atténuation/protection DEF → défense/sûreté NUM → numérique/capteurs (sources) SPA → spatial/cryo (extrêmes) RES → recherche fondamentale,DEF;MAT;NUM;RES;SPA
D,7,Re,Rhénium,75,Structurer → superalliages → alliages haute température,Contrainte → T élevée → chimie,MAT → matériaux SPA → spatial/cryo (propulsion) DEF → défense/sûreté CHI → chimie/procédés RES → recherche fondamentale,CHI;DEF;MAT;RES;SPA
D,8,Os,Osmium,76,Alliages durs → matériaux haute dureté/usure (métallurgie),Observable → Densité extrême,MAT → matériaux DEF → défense/sûreté RES → recherche fondamentale,DEF;MAT;RES
D,9,Ir,Iridium,77,Interfacer → électrodes → interfaces conducteur–milieu,Traceur → signatures → impacts,NUM → numérique/capteurs (électrochimie) (conversion/mesure) ENV → environnement/géosciences RES → recherche fondamentale,ENV;NUM;RES
D,10,Pt,Platine,78,Catalyser → catalyse → contrôle cinétique,Modèle → complexes métal–C → organométallique,CHI → chimie/procédés Joaillerie → usage ornemental (objet économique) EN → énergie (conversion) SAN → santé/vivant (dispositifs) RES → recherche fondamentale,CHI;EN;RES;SAN
D,11,Au,Or,79,Interfacer → électronique → composants/systèmes charges/états,Modèle → surface/taille → nanoparticules,NUM → numérique/capteurs Finance → réserve/actif (rôle économique) Contrainte → persistance → stabilité SAN → santé/vivant (nano/diag) CHI → chimie/procédés RES → recherche fondamentale,CHI;NUM;RES;SAN
D,12,Hg,Mercure,80,Mesurer → thermomètres → mesure de température (instrument),Système modèle → métal liquide → fluides,NUM → numérique/capteurs (mesure) SAN → santé/vivant (exposition) ENV → environnement/géosciences (pollution) RES → recherche fondamentale,ENV;NUM;RES;SAN
P,13,Tl,Thallium,81,Structurer → verres optiques (indices élevés),Observable → états d’oxydation (+1/+3),MAT → matériaux (optique) Exploiter → toxicité (usage historique contrôlé) Sonde → lignes atomiques (spectroscopie) SAN → santé/vivant (toxicologie) RES → recherche fondamentale,MAT;RES;SAN
P,14,Pb,Plomb,82,Stocker → batteries (acide),Contrainte/Observable → bioaccumulation (toxicité),EN → énergie (batteries) Protéger → blindages (absorption rayons) Traceur → signatures isotopiques (environnement) DEF → défense/sûreté ENV → environnement/géosciences RES → recherche fondamentale,DEF;EN;ENV;RES
P,15,Bi,Bismuth,83,Assembler → alliages (bas point de fusion),Sonde → diamagnétisme (champs observables),MAT → matériaux Traiter → antiacides (pharmacie) Modèle → alliages liquides SAN → santé/vivant RES → recherche fondamentale,MAT;RES;SAN
P,16,Po,Polonium,84,"Neutraliser → charges (antistatique, alpha)",Contrainte → désintégrations (radioactivité),NUM → numérique/capteurs Chauffer → radioisotopes (source) Contrainte → toxicité (extrême) EN → énergie RES → recherche fondamentale,EN;NUM;RES
P,17,At,Astate,85,Traiter → radiothérapie alpha ciblée,Contrainte → désintégrations (radioactivité),SAN → santé/vivant Produire → radiohalogène (recherche) Modèle → chimie halogène (comportements) RES → recherche fondamentale,RES;SAN
P,18,Rn,Radon,86,Détecter → gaz radioactif (mesure),Contrainte → désintégrations (radioactivité),NUM → numérique/capteurs Traiter → radiothérapie (historique) Traceur → environnement (indicateur) SAN → santé/vivant ENV → environnement/géosciences RES → recherche fondamentale,ENV;NUM;RES;SAN
S,1 (Alcalins),Fr,Francium,87,Produire → recherche → production d’observables/mesures (usage,Contrainte → niveaux/instabilités → structure nucléaire,RES → recherche fondamentale principal),RES
S,2 (Alcalino-terr,Ra,Radium,88,Traiter → radiothérapie historique → irradiation thérapeutique (usage,Contrainte → désintégrations → radioactivité,SAN → santé/vivant (thérapeutique) eux) historique) RES → recherche fondamentale Daloze Didier Bloc Groupe Symbole Nom Z Utilisation (définition) Usage épistémique (définition) Multisecteurs (définition),RES;SAN
F,3,Ac,Actinium,89,Traiter → radioisotopes (thérapie ciblée),Contrainte → désintégrations alpha (radioactivité),SAN → thérapie/imagerie Produire → sources de rayonnement (calibration) Traceur → chaînes de décroissance (signatures) NUC → radioisotopes RES → recherche fondamentale,NUC;RES;SAN
F,3,Th,Thorium,90,Convertir → combustible (cycle thorium),Traceur → ratios isotopiques (géochimie),NUC → nucléaire Structurer → oxydes/alliages (haute température) Contrainte → désintégrations/sections efficaces (nucléaire) EN → énergie (combustible) ENV → géosciences (traceurs) RES → recherche fondamentale,EN;ENV;NUC;RES
F,3,Pa,Protactinium,91,Produire → isotopes (cibles),Contrainte → valence/complexes (chimie actinides),NUC → nucléaire Convertir → intermédiaires de cycle (radioisotopes) Traceur → signatures de décroissance CHI → chimie/procédés RES → recherche fondamentale,CHI;NUC;RES
F,3,U,Uranium,92,Convertir → combustible (fission),Traceur → ratios isotopiques (datation),NUC → nucléaire Protéger → blindage (densité) Contrainte → neutrons/désintégrations (nucléaire) EN → énergie (fission) DEF → sûreté/blindage ENV → géosciences RES → recherche fondamentale,DEF;EN;ENV;NUC;RES
F,3,Np,Neptunium,93,Produire → isotopes (cibles),Contrainte → états d’oxydation (chimie actinides),NUC → nucléaire Convertir → radioisotopes (applications) Sonde → signatures radiatives (spectrométrie) CHI → chimie/procédés NUM → détection RES → recherche fondamentale,CHI;NUC;NUM;RES
F,3,Pu,Plutonium,94,Convertir → combustible (MOX),Contrainte → fission/neutronique (nucléaire),NUC → nucléaire Produire → source de chaleur (radioisotopes) Traceur → signatures isotopiques (contrôle) EN → énergie (combustible/chaleur) DEF → sûreté RES → recherche fondamentale,DEF;EN;NUC;RES
F,3,Am,Américium,95,Détecter → capteurs (jauges/détecteurs),Sonde → émission alpha/gamma (mesurable),NUM → capteurs/instrumentation Produire → sources de rayonnement (instrumentation) Contrainte → radioprotection (exposition) NUC → radioisotopes SAN → exposition RES → recherche fondamentale,NUC;NUM;RES;SAN
F,3,Cm,Curium,96,Produire → sources de chaleur (radioisotopes),Contrainte → désintégrations (radioactivité),NUC → nucléaire Produire → cibles (transmutation) Sonde → neutronique (flux/sources) EN → énergie (source) RES → recherche fondamentale,EN;NUC;RES
F,3,Bk,Berkélium,97,Produire → cibles (synthèse éléments lourds),Contrainte → complexation (chimie actinides),NUC → nucléaire Sonde → signatures radiatives (mesure) RES → recherche fondamentale,NUC;RES
F,3,Cf,Californium,98,Produire → source de neutrons (industrie/recherche),Sonde → activation/sections efficaces (neutrons),NUC → neutronique Imager → radiographie neutronique (contraste) Contrainte → dosimétrie (rayonnements) NUM → instrumentation EN → inspection procédés RES → recherche fondamentale,EN;NUC;NUM;RES
F,3,Es,Einsteinium,99,Produire → isotopes (études),Contrainte → désintégrations (radioactivité),NUC → nucléaire Modèle → tendances série actinides RES → recherche fondamentale Daloze Didier,NUC;RES
F,3,Fm,Fermium,100,Produire → isotopes (études),Contrainte → désintégrations (radioactivité),NUC → nucléaire Modèle → tendances structure nucléaire RES → recherche fondamentale,NUC;RES
F,3,Md,Mendelevium,101,Produire → isotopes (études),Contrainte → complexation (chimie actinides),NUC → nucléaire Sonde → signatures (spectrométrie) CHI → chimie/procédés RES → recherche fondamentale,CHI;NUC;RES
